,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
EX_co2_e,0,-0,--,--,--,--,--,--,--,--,--,--,--,--,--
EX_o2_e,0,0+,++,++,++,++,++,++,++,++,++,++,++,++,++
EX_h2o_e,0,-0,--,--,--,--,--,--,--,--,--,--,--,--,--
EX_co_e,0,0+,0,0,0,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
EX_no3_e,-0,-0,-,-,-,--,--,--,--,--,--,--,--,--,--
EX_photon_e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ATPS_h,+,++,++,++,++,++,++,++,++,++,++,++,++,++,++
ATPM_h,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
GLNA_h,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
GLTS_h,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
ACCOAC_h,0,0+,++,++,++,++,++,++,++,++,++,++,++,++,++
ACOATA_h,0,0+,++,++,++,++,++,++,++,++,++,++,++,++,++
NTRIR_h,0,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
PSII_u,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
FNOR_h,0,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
GDR_NADP_h,0,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
RUBISO_h,0,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
RUBISC_h,0+,0+,++,++,++,++,++,++,++,++,++,++,++,++,++
DXPS_h,0,0+,+,+,+,++,++,++,++,++,++,++,++,++,++
ATPS_m,0+,-+,++,-+,-+,-+,++,++,++,++,++,-+,-+,-+,-+
ATPM_m,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
GLNA_m,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
GLTS_m,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
THD2_m,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
GLUDH2_m,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+,-+
ATPS_c,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
TAGAH_HDE_ARA_ARA_c,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
ACOADAGAT_EPA_EPA_EPA_c,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
ACOADAGAT_HDE_ARA_ARA_c,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
NOR_c,0,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+,0+
PAPA_EPA_EPA_c,0+,0+,++,++,++,0+,++,0+,++,0+,0+,++,++,0+,0+
NITR_c,0,0+,+,+,+,++,++,++,++,++,++,++,++,++,++
